date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:19:20	50/50	---M-Z	200	added ('OK')	text/plain	etag:W/%227b70d9af5ce8df67122274274d084dd3%22	https://www.mahendrapurbia.com/robots.txt		(from )
13:19:22	682631/682631	---M-Z	200	added ('OK')	text/html	etag:W/%2263ed92d0593f20df31358809cb584190%22	https://www.mahendrapurbia.com/	D:/web/rrrr/www.mahendrapurbia.com/index.html	(from )
13:19:23	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2029%20Oct%202024%2007:49:23%20GMT	https://challenges.cloudflare.com/turnstile/v0/api.js?render=explicit	D:/web/rrrr/challenges.cloudflare.com/turnstile/v0/api.0b091.delayed	(from https://www.mahendrapurbia.com/)
13:19:23	47532/47532	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2018%20Oct%202024%2017:38:58%20GMT	https://challenges.cloudflare.com/turnstile/v0/g/f2bbd6738e15/api.js	D:/web/rrrr/challenges.cloudflare.com/turnstile/v0/g/f2bbd6738e15/api.js	(from https://www.mahendrapurbia.com/)
13:19:23	96/96	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Oct%202024%2004:53:59%20GMT	https://polywork-images-proxy.imgix.net/https%3A%2F%2Fwww.mahendrapurbia.com%2Fassets%2Ffavicon%2Fidentity-default-favicon-9817d7b6296883042633996b90775f32f72dbfabfbe493de9965328af3f0902e.png?ixlib=rails-4.3.1&w=32&h=32&fit=crop&auto=format&s=377092c038e50a9c4ea6e591b4dc296c	D:/web/rrrr/polywork-images-proxy.imgix.net/https_/www.mahendrapurbia.com/assets/favicon/identity-default-favicon-9817d7b6296883042633996b90775f32f72dbfabfbe493de9965328af3f0902e31b5.png	(from https://www.mahendrapurbia.com/)
13:19:25	726/726	---M--	200	added ('OK')	application/json	date:Mon,%2028%20Oct%202024%2016:19:06%20GMT	https://www.mahendrapurbia.com/manifest.json	D:/web/rrrr/www.mahendrapurbia.com/manifest.json	(from https://www.mahendrapurbia.com/)
13:19:26	20758/20758	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202024%2007:49:26%20GMT	https://www.mahendrapurbia.com/cdn.iframe.ly	D:/web/rrrr/www.mahendrapurbia.com/cdn.iframe.4.delayed	(from https://www.mahendrapurbia.com/)
13:19:29	682667/682667	---M-Z	200	added ('OK')	text/html	etag:W/%22cfa6b65bcc7615aea8def8d34e97d16b%22	https://www.mahendrapurbia.com/polywork.com	D:/web/rrrr/www.mahendrapurbia.com/polywork.html	(from https://www.mahendrapurbia.com/)
13:19:30	20758/20758	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202024%2007:49:30%20GMT	https://www.mahendrapurbia.com/polywork-production.imgix.net	D:/web/rrrr/www.mahendrapurbia.com/polywork-production.imgix.6.delayed	(from https://www.mahendrapurbia.com/)
13:19:31	20758/20758	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Oct%202024%2007:49:31%20GMT	https://www.mahendrapurbia.com/polywork-images-proxy.imgix.net	D:/web/rrrr/www.mahendrapurbia.com/polywork-images-proxy.imgix.7.delayed	(from https://www.mahendrapurbia.com/)
13:19:32	44208/44208	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e8568c163174e8c2e5f336eaaaecd340%22	http://d2wy8f7a9ursnm.cloudfront.net/v7/bugsnag.min.js	D:/web/rrrr/d2wy8f7a9ursnm.cloudfront.net/v7/bugsnag.min.js	(from https://www.mahendrapurbia.com/)
13:19:33	24553/24553	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202024%2016:23:08%20GMT	https://www.mahendrapurbia.com/assets/tailwind-86853cd5b3562e2ef796f3d15b2354200d36b29d939bfa7e3114337cc74172a6.css	D:/web/rrrr/www.mahendrapurbia.com/assets/tailwind-86853cd5b3562e2ef796f3d15b2354200d36b29d939bfa7e3114337cc74172a6.css	(from https://www.mahendrapurbia.com/)
13:19:35	1858189/1858189	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202024%2016:23:07%20GMT	https://www.mahendrapurbia.com/assets/application-8fc5959715f11e200f29e4e7c0987e3c4eb2fa7ac1a2cf931f268a982bdea0a9.css	D:/web/rrrr/www.mahendrapurbia.com/assets/application-8fc5959715f11e200f29e4e7c0987e3c4eb2fa7ac1a2cf931f268a982bdea0a9.css	(from https://www.mahendrapurbia.com/)
13:19:36	642/642	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202024%2016:23:08%20GMT	https://www.mahendrapurbia.com/assets/templated/typographies/dm-sans-5df33c2af2c75bd2b0937273d2bb3c6830f70e7ac75a6df86dd7d601aa139760.css	D:/web/rrrr/www.mahendrapurbia.com/assets/templated/typographies/dm-sans-5df33c2af2c75bd2b0937273d2bb3c6830f70e7ac75a6df86dd7d601aa139760.css	(from https://www.mahendrapurbia.com/)
13:19:37	2685007/2685007	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2028%20Oct%202024%2016:24:47%20GMT	https://www.mahendrapurbia.com/packs/js/application-a79181c4434bf43762a9.js	D:/web/rrrr/www.mahendrapurbia.com/packs/js/application-a79181c4434bf43762a9.js	(from https://www.mahendrapurbia.com/)
13:19:38	1992/1992	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202024%2016:23:08%20GMT	https://www.mahendrapurbia.com/assets/templated/typographies/sizing-926fbe0577043d51f08137e610ce52e021290d110b6e17182358947217d81413.css	D:/web/rrrr/www.mahendrapurbia.com/assets/templated/typographies/sizing-926fbe0577043d51f08137e610ce52e021290d110b6e17182358947217d81413.css	(from https://www.mahendrapurbia.com/)
